filename	md5	time	brain_region	test	group	replicate	label
mapping/feature_counts/CH_DB_AI_044.all_mates/out/feature_counts.CH_DB_AI_044.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr1	Night_Frontal_cortex	7	Night_Frontal_cortex_7
mapping/feature_counts/CH_DB_AI_045.all_mates/out/feature_counts.CH_DB_AI_045.all_mates.feature_counts	.	Day	Frontal_cortex	Soci	Day_Frontal_cortex	4	Day_Frontal_cortex_4
mapping/feature_counts/CH_DB_AI_046.all_mates/out/feature_counts.CH_DB_AI_046.all_mates.feature_counts	.	Day	Frontal_cortex	Cogn	Day_Frontal_cortex	5	Day_Frontal_cortex_5
mapping/feature_counts/CH_DB_AI_047.all_mates/out/feature_counts.CH_DB_AI_047.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr0	Day_Frontal_cortex	6	Day_Frontal_cortex_6
mapping/feature_counts/CH_DB_AI_048.all_mates/out/feature_counts.CH_DB_AI_048.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr1	Day_Frontal_cortex	7	Day_Frontal_cortex_7
mapping/feature_counts/CH_DB_AI_049.all_mates/out/feature_counts.CH_DB_AI_049.all_mates.feature_counts	.	Night	Frontal_cortex	Soci	Night_Frontal_cortex	8	Night_Frontal_cortex_8
mapping/feature_counts/CH_DB_AI_050.all_mates/out/feature_counts.CH_DB_AI_050.all_mates.feature_counts	.	Night	Frontal_cortex	Cogn	Night_Frontal_cortex	9	Night_Frontal_cortex_9
mapping/feature_counts/CH_DB_AI_051.all_mates/out/feature_counts.CH_DB_AI_051.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr0	Night_Frontal_cortex	10	Night_Frontal_cortex_10
mapping/feature_counts/CH_DB_AI_052.all_mates/out/feature_counts.CH_DB_AI_052.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr1	Night_Frontal_cortex	11	Night_Frontal_cortex_11
mapping/feature_counts/CH_DB_AI_053.all_mates/out/feature_counts.CH_DB_AI_053.all_mates.feature_counts	.	Day	Frontal_cortex	Soci	Day_Frontal_cortex	8	Day_Frontal_cortex_8
mapping/feature_counts/CH_DB_AI_054.all_mates/out/feature_counts.CH_DB_AI_054.all_mates.feature_counts	.	Day	Frontal_cortex	Cogn	Day_Frontal_cortex	9	Day_Frontal_cortex_9
mapping/feature_counts/CH_DB_AI_055.all_mates/out/feature_counts.CH_DB_AI_055.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr0	Day_Frontal_cortex	10	Day_Frontal_cortex_10
mapping/feature_counts/CH_DB_AI_056.all_mates/out/feature_counts.CH_DB_AI_056.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr1	Day_Frontal_cortex	11	Day_Frontal_cortex_11
mapping/feature_counts/CH_DB_AI_057.all_mates/out/feature_counts.CH_DB_AI_057.all_mates.feature_counts	.	Night	Frontal_cortex	Soci	Night_Frontal_cortex	12	Night_Frontal_cortex_12
mapping/feature_counts/CH_DB_AI_058.all_mates/out/feature_counts.CH_DB_AI_058.all_mates.feature_counts	.	Night	Frontal_cortex	Cogn	Night_Frontal_cortex	13	Night_Frontal_cortex_13
mapping/feature_counts/CH_DB_AI_059.all_mates/out/feature_counts.CH_DB_AI_059.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr0	Night_Frontal_cortex	14	Night_Frontal_cortex_14
mapping/feature_counts/CH_DB_AI_060.all_mates/out/feature_counts.CH_DB_AI_060.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr1	Night_Frontal_cortex	15	Night_Frontal_cortex_15
mapping/feature_counts/CH_DB_AI_061.all_mates/out/feature_counts.CH_DB_AI_061.all_mates.feature_counts	.	Day	Frontal_cortex	Soci	Day_Frontal_cortex	12	Day_Frontal_cortex_12
mapping/feature_counts/CH_DB_AI_062.all_mates/out/feature_counts.CH_DB_AI_062.all_mates.feature_counts	.	Day	Frontal_cortex	Cogn	Day_Frontal_cortex	13	Day_Frontal_cortex_13
mapping/feature_counts/CH_DB_AI_063.all_mates/out/feature_counts.CH_DB_AI_063.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr0	Day_Frontal_cortex	14	Day_Frontal_cortex_14
mapping/feature_counts/CH_DB_AI_064.all_mates/out/feature_counts.CH_DB_AI_064.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr1	Day_Frontal_cortex	15	Day_Frontal_cortex_15
